Place,State,Category,Budget,Rating,Timing,Description
Taj Mahal,Uttar Pradesh,Historical,High,4.9,6AM-6PM,World famous monument of love
Jaipur,Rajasthan,Culture,Medium,4.7,24 Hours,Pink city known for forts and culture
Goa,Goa,Beach,High,4.8,24 Hours,Famous for beaches and nightlife
Manali,Himachal,Nature,Medium,4.6,24 Hours,Beautiful hill station with snow mountains
Varanasi,Uttar Pradesh,Spiritual,Low,4.5,24 Hours,Ancient spiritual city on Ganga river
Kerala,Kerala,Nature,High,4.9,24 Hours,Known for backwaters and greenery
Rishikesh,Uttarakhand,Adventure,Low,4.6,24 Hours,Famous for rafting and yoga
Mumbai,Maharashtra,City,High,4.4,24 Hours,Financial capital of India
Darjeeling,West Bengal,Hills,Medium,4.7,24 Hours,Famous for tea gardens
Amritsar,Punjab,Historical,Low,4.8,24 Hours,Home of Golden Temple
